parameter_name,Caudal processes
parameter_id,IMPC_XRY_067_001
analysis_id,43219ct407tu2ip
pvalue,0.6883352
gene_symbol,Exd1
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3045306
