analysis_id,5pb4wf44134hogi
parameter_name,PP3 + pulse startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:2685053
gene_symbol,Ntmt2
pvalue,0.08331746
mouse_life_stage,Early adult
