analysis_id,72732f1b4m27rtw
gene_symbol,Mgst2
pvalue,0.4819649
parameter_id,IMPC_ECG_003_001
parameter_name,CV
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
mouse_strain,C57BL
