parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
parameter_id,IMPC_IMM_004_001
analysis_id,p32ip0kc7t82j0f
mouse_strain,C57BL
gene_symbol,Mapkap1
pvalue,0.1069056
