gene_symbol,Ubxn11
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
mouse_strain,C57BL
analysis_id,5q55u509e656d16
pvalue,0.7577609
parameter_id,MGP_MLN_058_001
