analysis_id,ib878pawwea90e7
parameter_id,ESLIM_007_001_009
mouse_strain,C57BL
parameter_name,Periphery average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.4293776
gene_symbol,Exd1
