analysis_id,q7q9p7pet28z8c0
pvalue,0.4738266
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
gene_symbol,Ncaph
