analysis_id,c6r8939x95c059m
gene_accession_id,MGI:1924315
parameter_name,Coat - color pattern - back
gene_symbol,Ints7
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.7502485
parameter_id,HRWLLA_CSD_008_001
