gene_symbol,Bach2
analysis_id,384g33dg8234n6l
gene_accession_id,MGI:894679
mouse_strain,C57BL
pvalue,0.4639816
mouse_life_stage,Early adult
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
