parameter_name,Blood Vessel Morphology
parameter_id,IMPC_GEO_011_001
mouse_strain,C57BL
analysis_id,xrlc1225f9l1um7
mouse_life_stage,Early adult
pvalue,0.1994302
gene_accession_id,MGI:99915
gene_symbol,Lamb3
