analysis_id,63fgrs7db670224
gene_accession_id,MGI:2140475
parameter_name,Potassium
gene_symbol,AU040320
parameter_id,GMC_906_001_005
pvalue,0.5022866
mouse_life_stage,Early adult
mouse_strain,C57BL
