gene_symbol,Atf3
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.501163
mouse_life_stage,Early adult
analysis_id,6eu2d9134748xr0
gene_accession_id,MGI:109384
parameter_id,M-G-P_005_001_004
