parameter_name,Follicular B Cells (CD21/35+)
analysis_id,334ud607203qas7
gene_symbol,Cdin1
pvalue,0.8306479
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:3026886
mouse_life_stage,E9.5
