parameter_name,BMC/Body weight
parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
pvalue,0.1051381
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
analysis_id,kd56e1uk1ci77k1
