parameter_name,Midbrain
gene_symbol,Ints7
analysis_id,3d9frg2k4a82d47
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.4286918
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:1924315
