analysis_id,l9c83in74n08dru
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
parameter_name,Lean mass
pvalue,0.2806414
gene_symbol,Kdm4c
mouse_life_stage,Early adult
