parameter_name,Fusion of vertebrae
analysis_id,s41awq41r69m255
parameter_id,M-G-P_006_001_026
pvalue,0.7366245
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_strain,C57BL
mouse_life_stage,Early adult
