parameter_name,PQ
analysis_id,6281736nbaswcbi
pvalue,0.3904735
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
