parameter_name,Iron
gene_symbol,Amigo1
analysis_id,n9yk5q7tx3ih1yp
pvalue,0.6420218
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_011_001
gene_accession_id,MGI:2653612
