parameter_name,Radius
parameter_id,IMPC_XRY_022_001
analysis_id,9347th3o9im5428
mouse_strain,C57BL
pvalue,0.9375898
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_life_stage,Early adult
