analysis_id,n0s992m78mroqq2
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_id,MGP_MLN_032_001
mouse_strain,C57BL
pvalue,0
parameter_name,Effector NK cells - % of NK cells
