parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
analysis_id,9kj07gqpkqwj710
pvalue,0.4150506
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
mouse_strain,C57BL
