parameter_name,Neutrophil percentage
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
gene_symbol,Opn3
parameter_id,MGP_PBI_019_001
analysis_id,scn78nzsrmiwe47
mouse_strain,C57BL
pvalue,0.7995732
