analysis_id,69py3x4rtr184ip
parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.6687334
gene_accession_id,MGI:1336200
