analysis_id,0pfm5fpc22oy07f
pvalue,0.8195175
parameter_id,JAXLA_GRS_010_001
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
parameter_name,Forelimb grip strength normalised against body weight
mouse_life_stage,Early adult
