analysis_id,wv0sy839yt8s265
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_strain,C57BL
pvalue,0.5011805
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_life_stage,Early adult
