parameter_name,Humerus
gene_accession_id,MGI:3046938
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Hrnr
analysis_id,38v0q9197bc7wy1
pvalue,0.4880835
