gene_symbol,Tox
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
pvalue,0.8244557
analysis_id,peg7486qt05864q
mouse_strain,C57BL
