gene_symbol,Galk2
gene_accession_id,MGI:1917226
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4378876
parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
analysis_id,6map39r97gt52gf
