parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
analysis_id,25427hsy9956pax
pvalue,0.6157138
gene_symbol,Nanp
mouse_life_stage,E18.5
mouse_strain,C57BL
gene_accession_id,MGI:1914561
