gene_symbol,Ilkap
gene_accession_id,MGI:1914694
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
pvalue,0.6199146
parameter_id,MGP_MLN_005_001
mouse_life_stage,Early adult
analysis_id,9f8y0m96k2ubu2b
mouse_strain,C57BL
