parameter_name,QT
analysis_id,8b9lh47p6co1w34
gene_symbol,Pum1
mouse_strain,C57BL
gene_accession_id,MGI:1931749
parameter_id,IMPC_ECG_028_001
pvalue,0.4279074
mouse_life_stage,Early adult
