gene_symbol,Nr0b2
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_018_001
mouse_strain,B6J
analysis_id,xrh2674o880pc4e
pvalue,0.8367368
parameter_name,Shape of vertebrae
gene_accession_id,MGI:1346344
