parameter_name,Startle response
gene_accession_id,MGI:2135738
parameter_id,HMGULA_SHI_009_001
analysis_id,fg70zr5m4hmhm8u
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Abo
pvalue,0.1202418
