analysis_id,wclc4q4mw42jsig
gene_accession_id,MGI:109356
mouse_strain,C57BL
pvalue,0.7643662
parameter_id,IMPC_IMM_050_001
parameter_name,Neutrophils
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
