analysis_id,9700xrn80n0u93u
parameter_id,ESLIM_001_001_117
parameter_name,eye size
mouse_life_stage,Early adult
gene_symbol,Bach2
pvalue,0.6320681
mouse_strain,C57BL
gene_accession_id,MGI:894679
