mouse_strain,129SV
gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_id,IMPC_CSD_070_001
analysis_id,o95447wf774jkfy
mouse_life_stage,Early adult
pvalue,0.7187571
parameter_name,Lower teeth appearance
