analysis_id,0191u3w2m5hk07v
pvalue,0.05338378
parameter_name,BMC/Body weight
mouse_strain,C57BL
parameter_id,JAXLA_DXA_007_001
gene_symbol,Cpa3
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
