gene_symbol,Traf6
mouse_life_stage,Early adult
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
analysis_id,v96j2l91el69893
pvalue,0.3658176
gene_accession_id,MGI:108072
mouse_strain,C57BL
