analysis_id,8a37sg79nvs0q25
parameter_id,IMPC_GEO_064_001
gene_symbol,Cpa3
mouse_strain,C57BL
pvalue,0.3374985
gene_accession_id,MGI:88479
parameter_name,Edema
mouse_life_stage,Early adult
