gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,MGP_IMM_129_001
pvalue,0.9465611
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Early adult
analysis_id,z92j8koysy7ah4a
