gene_symbol,Ola1
pvalue,0.4123833
gene_accession_id,MGI:1914309
analysis_id,j3293ze33204304
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
