parameter_id,JAXLA_DXA_008_001
pvalue,0.5319336
mouse_life_stage,E12.5
analysis_id,78d005u9pvctu5d
parameter_name,Lean/Body weight
mouse_strain,C50BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
