gene_symbol,Nemp2
mouse_life_stage,Early adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
pvalue,0.9359779
analysis_id,3t37dwjrdfczjr8
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
gene_accession_id,MGI:2444113
