gene_symbol,Casq1
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1309468
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_073_001
analysis_id,9k4co7wq6qp6074
pvalue,1.168491
