gene_symbol,Lime1
pvalue,0.4311831
analysis_id,49v1f5k5679w9lh
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
mouse_strain,C57BL
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
