gene_symbol,Psd4
parameter_name,Center average speed
mouse_strain,C57BL
pvalue,0.4640146
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_017_001
analysis_id,l1f1xuh5u132n34
