parameter_name,Tibia
parameter_id,IMPC_XRY_025_001
analysis_id,j2t818g02s5yf57
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
gene_symbol,Mapkap1
pvalue,0.1808289
mouse_strain,C57BL
