gene_symbol,Tox
parameter_id,IMPC_ECH_001_001
mouse_strain,C57BL
parameter_name,End-Systolic Diameter
pvalue,0.4951085
mouse_life_stage,Early adult
gene_accession_id,MGI:2181659
analysis_id,1nh72r664wjiu51
