parameter_name,Magnesium
mouse_strain,C57BL
pvalue,0.4295925
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_054_001
analysis_id,rok8pmdd540cos6
gene_symbol,Snap23
gene_accession_id,MGI:109356
