parameter_name,Hindlimb digit - size
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,Early adult
pvalue,0.8561048
analysis_id,90018kr7x5iq46g
mouse_strain,C57BL
parameter_id,IMPC_CSD_047_001
