parameter_name,Corneal vascularization
mouse_life_stage,Early adult
pvalue,0.313562
mouse_strain,B6J
gene_accession_id,MGI:1346344
parameter_id,IMPC_EYE_009_001
analysis_id,g42ruq7uddajq35
gene_symbol,Nr0b2
