analysis_id,5s758q1d458l05f
mouse_life_stage,Early adult
pvalue,0.09310157
parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
mouse_strain,C57BL
gene_accession_id,MGI:107566
gene_symbol,Kifap3
