parameter_name,Mean-corpuscular-haemoglobin
gene_symbol,Snrpb2
mouse_strain,C57BL
pvalue,0.4009181
gene_accession_id,MGI:104805
analysis_id,g5341127h730b3i
parameter_id,M-G-P_016_001_006
mouse_life_stage,Early adult
