parameter_name,End-Systolic Diameter
mouse_strain,C57BL
gene_symbol,Etfdh
mouse_life_stage,Early adult
pvalue,0.6549736
parameter_id,IMPC_ECH_001_001
gene_accession_id,MGI:106100
analysis_id,z7k1mh3g103t385
