analysis_id,4d1u77986lz2563
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
pvalue,0.2514833
gene_symbol,Mapkap1
parameter_name,Periphery permanence time
