parameter_id,IMPC_ECH_005_001
gene_symbol,Slc30a4
mouse_life_stage,Late adult
parameter_name,Fractional Shortening
gene_accession_id,MGI:1345282
mouse_strain,C57BL
analysis_id,i9jsk4w0k35sqr5
pvalue,0.904777
