analysis_id,n73b2h3jf05j1mg
gene_symbol,Bmi1
pvalue,0.912229
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
