parameter_name,Alkaline phosphatase
mouse_strain,C57BL
analysis_id,5ofws9g1w49r025
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:1914515
pvalue,0.6839985
gene_symbol,Slc39a10
mouse_life_stage,E9.5
