gene_symbol,Galk2
gene_accession_id,MGI:1917226
mouse_strain,C57BL
parameter_id,IMPC_DXA_002_001
analysis_id,d5x2d670686q0k1
pvalue,0.3090603
mouse_life_stage,Early adult
parameter_name,Fat mass
