analysis_id,p510i4528ws8036
gene_symbol,Zmynd19
mouse_strain,C58BL
mouse_life_stage,Early adult
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
gene_accession_id,MGI:1914437
pvalue,0.2482644
