gene_symbol,Car13
pvalue,0.4078413
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
analysis_id,b087703004jc69h
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:1931322
