parameter_name,Periphery permanence time
gene_symbol,Hrnr
parameter_id,JAX_OFD_012_001
analysis_id,7531bgzjaw643bg
gene_accession_id,MGI:3046938
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.575816
