analysis_id,0me6f03g1bc1r8l
mouse_strain,C57BL
parameter_name,Hemoglobin
pvalue,0.7809784
mouse_life_stage,Early adult
gene_accession_id,MGI:109585
gene_symbol,Pld1
parameter_id,IMPC_HEM_003_001
